gene_id,SRR7819740,SRR7819751,SRR7819759,SRR7819764,SRR7819779,SRR7819802,SRR7819811,SRR7819835,SRR7819862,SRR7819866,SRR7819851,SRR7819863,SRR7819867,SRR7819869,SRR7819870,SRR7819871,SRR7819875,SRR7819885,SRR7819891,SRR7819893
KRT71,0,23927,444,0,24117,0,0,0,32,1407,98,0,0,0,0,0,0,0,0,6293
KRT73,7,23251,294,57,13655,7,0,0,23,288,19,32,27,0,100,44,213,80,0,1460
KRT76,20,74,8,13,121,0,0,0,4,16,0,12,9,4,22,0,3,23,0,45
KRT79,221,4140,2855,50,9499,39,3,0,201,2498,176,5385,66,240,2372,240,83,131,17,6084
KRT8,58895,14282,34787,50918,45892,265,538,181,100718,37040,59003,51166,63708,92422,169088,120552,90341,130459,40535,123044
KRT85,4,33144,704,13,28774,0,15,0,26,1681,22,0,0,0,0,0,0,0,0,2099
KRTCAP2,4884,5075,2994,4732,5301,2889,6039,4046,9712,11053,8138,6066,7549,4069,4293,7138,3354,4513,5019,6940
KRTDAP,5,13835,16608,0,24699,0,23,0,161,40156,10,7203,0,12,480,0,0,74,0,19127
LALBA,55910,35589,153617,113209,57806,9,57,32,144247,11268,38,178,613,13247,3146,22753,12801,1050,126127,111346
LAMC2,3261,2048,1963,3981,3998,3427,1469,2331,4205,766,601,3268,1401,3265,3469,3151,11561,6091,508,5933
LATS1,654,336,1046,725,548,1099,292,344,351,262,49,368,123,1574,1393,1026,1350,1336,276,727
LDHB,23303,14172,13305,9011,18046,13270,7080,18760,35256,20933,16282,15814,20143,20071,7705,11092,13773,11617,13833,17809
LDHC,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEP,7,9030,75,83,140,32866,20,14389,18,1682,23,200,5,21,85,42,38,8,5,1201
LEPR,181,39,277,347,139,84,0,17,232,192,46,832,247,3905,1853,456,1410,2052,291,884
LEPROT,3467,1814,2873,2990,2167,4046,3397,2935,6227,2391,2017,4557,3178,4710,4581,3849,4068,4973,2257,4317
LEPROTL1,1687,1110,1110,1249,1201,1714,1711,1239,2449,1351,1275,2034,1703,1693,1594,1998,1421,2454,923,1716
LGALS1,9630,21936,3218,11508,5749,43945,38474,125087,31591,33009,48695,46758,14176,8442,6344,9279,8432,15017,2377,22502
LGALS12,21,598,39,122,204,3727,139,4055,43,270,91,12,0,23,30,128,0,15,80,155
LGALS2,131,45,43,61,99,53,39,29,113,28,114,98,81,92,172,177,153,284,10,103
LGALS3,5542,39193,9020,7195,36038,16381,26528,41960,32668,21077,17846,24327,16863,9597,9955,13366,14724,18178,1555,38277
LGALS4,14,38,11,15,27,26,11,83,15,29,73,22,18,0,0,34,0,32,14,35
LGALS8,2352,1633,1725,2685,1956,3562,2972,4045,4398,1945,1948,3764,2057,3941,3210,3183,2985,3035,1387,3178
LGALS9,2384,997,937,2418,629,2709,8017,2331,5068,1409,4083,3911,10466,2813,10861,4192,4396,1469,886,2888
LGSN,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
LHX3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIF,56,20,26,28,25,23,51,8,44,24,59,93,28,77,109,387,92,186,3,54
LIFR,1440,229,1954,1496,907,725,191,651,690,217,243,206,327,1189,907,1179,650,1103,1061,640
LIPC,42,63,30,126,12,141,794,153,202,89,298,35,0,10,90,116,26,22,23,74
LIPF,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
LMAN2,5428,4512,4213,4865,4888,7295,7567,8121,8742,5123,8081,9348,4327,8186,6056,5831,5866,7369,4568,8938
LMNA,9879,22291,10527,13382,19751,23547,37122,15248,43020,9378,33473,40134,19486,12695,15065,17136,18720,31010,3289,26984
LOC100049001,254,113,307,725,161,1271,906,364,1279,1476,526,188,21,48,342,439,76,54,74,600
LOC100687463,0,0,0,0,0,0,3,0,10,0,0,0,0,0,6,101,0,4,0,0
