"gene_id","SRR7819740","SRR7819751","SRR7819759","SRR7819764","SRR7819779","SRR7819802","SRR7819811","SRR7819835","SRR7819851","SRR7819862","SRR7819863","SRR7819866","SRR7819867","SRR7819869","SRR7819870","SRR7819871","SRR7819875","SRR7819885","SRR7819891","SRR7819893"
"SLC35A1",253,254,208,218,246,257,155,138,249,540,475,258,335,383,401,322,281,454,197,493
"MIR8833",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FUT9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,5,0,0
"MCHR2",2,0,0,1,0,0,0,0,0,0,0,0,0,0,6,4,0,4,0,0
"FIG4",616,408,336,379,487,470,588,454,496,1000,800,383,847,594,824,678,599,872,350,795
"MIR599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR875",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AZIN1",1547,769,1533,1307,1141,1388,520,521,1492,2952,2649,1016,1804,2521,1581,1589,2563,2893,1046,2226
"FZD6",1508,1167,1496,1070,1877,932,840,300,298,2262,1671,1027,947,1539,2510,2448,2051,2389,1036,2023
"ZFPM2",45,82,60,204,26,490,283,337,17,231,60,58,15,62,82,159,31,39,8,125
"ANGPT1",62,170,40,96,14,1070,56,578,28,111,202,71,25,109,95,516,46,135,19,114
"MIR8836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EBAG9",704,488,572,515,543,491,503,467,585,1506,621,822,785,1264,1084,837,646,773,645,1059
"ANXA13",18,10,5,18,11,2,2,3,10,9,14,21,24,38,40,52,32,32,11,4
"TRIB1",2207,1578,1110,946,2290,4701,2641,2721,1295,6007,2148,1163,2599,2060,3358,6429,1507,3493,409,3777
"MYC",1724,1585,1394,1301,2465,3059,5285,2177,2970,2564,1509,1077,1185,2335,2488,4049,1697,2920,2351,1755
"TG",1,0,0,0,2,1,4,0,24,0,6,1,2,0,0,6,0,2,0,0
"NDRG1",5760,3466,6334,4912,5132,2885,2053,1201,5240,5733,2681,1584,1113,3376,5837,4453,9356,4831,9464,7287
"MIR30B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR30D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM83H",734,1061,689,427,1301,457,59,661,163,650,407,273,363,474,463,515,556,825,389,622
"ZNF252",619,288,359,335,455,246,304,238,216,576,359,241,286,595,609,457,403,593,385,442
"CNGA1",18,14,13,7,8,4,2,11,18,17,17,9,32,71,29,20,5,19,20,23
"KIT",504,230,286,392,364,250,350,41,119,331,401,179,171,532,1436,702,1167,1049,74,825
"KDR",249,214,627,1479,282,1464,2039,1013,673,836,1446,241,111,805,1676,1454,1113,1794,583,879
"SRP72",2461,1815,2519,2440,2377,1873,1752,1833,2777,3327,3506,1356,2196,4070,2866,2453,3999,3397,2196,3023
"GNRHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UGT2B31",19,0,91,10,25,0,0,0,0,39,5,6,3,1,97,3,10,0,159,5
"SULT1B1",1,9,4,2,3,11,3,326,0,5,1,18,4,0,11,13,0,0,3,19
"CSN2",59902,77426,431615,173404,32496,22,317,331,980,146127,368,12982,2146,40366,24692,187852,62210,541,111025,864629
"ODAM",4,2,5,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,1
"ALB",14,8,0,40,2,6,0,3,4,12,8,4,6,6,2,3,22,0,1,9
"AFP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CXCL8",98,23,72,438,74,368,945,79,880,311,729,293,73,662,760,885,1360,149,7,1328
"PPBP",3,7,46,6,5,104,19,12,11,31,3,21,1,9,11,388,6,8,3,31
"ARF1",3048,2526,2884,2902,3030,2652,2790,2452,2743,5246,3801,2735,2176,3975,3554,3656,3174,3564,2427,3983
"OR2T11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKR1B1",758,1955,581,689,722,3085,1325,6702,2485,1338,1246,1085,958,1853,1004,1343,615,1559,980,1717
"SLC35B4",136,87,93,127,150,153,122,59,132,122,146,55,75,219,81,86,213,233,51,126
"PODXL",1188,637,1413,1618,912,1083,2034,440,1044,2835,2530,470,560,997,1411,1888,1495,3393,586,3325
"MIR29B-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR29A",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"MIR335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LEP",4,4325,36,40,68,15721,9,7072,10,9,97,818,2,9,44,19,17,4,2,592
"MIR129-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR592",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB1",37,13,39,39,24,147,20,14,12,141,63,24,40,58,69,93,49,108,25,91
"CALCR",0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0
"MIR653",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR489",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNGT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL1A2",17646,5964,7117,33669,3641,50399,308234,39308,728327,71315,514705,32620,60332,14626,9451,18499,19537,39919,5947,24282
"PEG10",687,40,18,98,55,104,173,301,1360,145,147,113,1101,55,63,49,13,196,75,45
"PON2",1518,2911,1866,931,3677,4258,1196,3377,1711,5469,4027,3936,2815,5330,3709,1978,3554,3625,919,4046
"MIR8841-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR8841-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAFA-T2R2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRSP-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCMBP",1020,512,469,482,579,914,819,407,492,928,673,372,441,707,906,862,977,1028,348,1057
"IL6",10,14,23,136,9,516,2258,24,424,15,60,507,27,34,89,898,48,33,7,36
"CYCS",1054,847,708,549,893,1305,944,1467,1700,3189,2341,1743,997,1754,914,1258,1533,1799,572,1068
"NPVF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR148A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIRLET7J",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
